gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;tenure_group;avg_charge_per_tenure;high_value_flag;service_density;y_true;y_prob;y_pred;Prediction_Type;Risk_Level;Estimated_Cost
Male;0;Yes;Yes;20;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,20;1776,55;13-24;88,83;0;2;1;0,90;1;TP;High;0
Male;0;Yes;Yes;49;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;One year;Yes;Electronic check;97,95;4917,90;25-60;100,37;1;3;0;0,63;1;FP;Moderate;100
Male;1;No;No;67;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);116,10;7839,85;61-72;117,01;1;6;0;0,30;0;TN;Low;0
Female;0;Yes;No;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,90;1115,60;25-60;19,57;0;0;0;0,06;0;TN;Low;0
Male;0;No;No;1;No;No phone service;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;29,15;29,15;0-6;29,15;0;1;0;0,71;1;FP;Moderate;100
Female;0;No;Yes;18;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,30;454,65;13-24;25,26;0;0;0;0,07;0;TN;Low;0
Male;0;Yes;No;53;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,90;1110,05;25-60;20,94;0;0;0;0,05;0;TN;Low;0
Male;1;Yes;No;61;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);25,00;1501,75;61-72;24,62;0;0;0;0,04;0;TN;Low;0
Female;0;Yes;Yes;15;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;46,30;639,45;13-24;42,63;0;0;0;0,79;1;FP;High;100
Female;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);90,95;6468,60;61-72;89,84;1;6;0;0,12;0;TN;Low;0
Female;0;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;No;Bank transfer (automatic);100,65;7334,05;61-72;101,86;1;4;0;0,23;0;TN;Low;0
Female;0;No;No;15;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;48,80;720,10;13-24;48,01;0;0;0;0,75;1;FP;Moderate;100
Female;0;No;No;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20,75;844,45;25-60;20,11;0;0;0;0,06;0;TN;Low;0
Male;0;No;No;3;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;69,35;191,35;0-6;63,78;0;3;1;0,72;1;TP;Moderate;0
